t,real_gdp,unemployment_rate,policy_rate,gov_deficit,gov_debt,benefit_paid,total_credit,price_index,energy_bought,e_capacity_utilization,energy_unfilled
0,233.73432922287526,0.8760490884513599,0.000134,194.3240339477179,4971.824033947624,120.87634608640343,5414.473372563644,1.20004849848343,153.10530299999996,0.0391343062143386,0.0
1,514.3976902523976,0.7200269536685382,0.00012520990198687748,311.54488605998404,5283.822953199208,121.07733221066462,6207.433719283307,1.2000169551320254,146.4936480717746,0.03914124121182709,0.0
2,683.5089648510559,0.6224040740819887,0.00011814574889422636,281.46246181882634,5565.800460506512,121.12490624330232,6701.573381035266,1.2021163379720952,140.12751328682538,0.03914668356267593,0.0
3,854.0242455735391,0.5083201842974945,0.0001121959180642393,295.44576174845986,5861.788602529257,121.04436678398584,6948.133775333426,1.2030300195562817,134.38033473992033,0.039151560647108244,0.0
4,980.5499360650757,0.4216774681555343,0.00010750418471706846,285.7105407138903,6148.061378378527,120.99228387928862,7064.02070511758,1.2019854485758317,129.25625744586955,0.057049439183789116,0.0
5,1086.2924621066384,0.35629282467464163,0.0001037690150745436,286.26569677557006,6434.912981476651,120.94816670087006,7133.257666560676,1.202196472017814,124.56178616249869,0.057053075720791324,0.0
6,1159.1557397306087,0.3089489366957501,0.00010075749170913865,291.6985784285232,6727.225224310019,120.92390796519102,7185.117422785253,1.2020373113123608,120.2714866855724,0.057056462234714805,0.0
7,1230.169509499244,0.26669051179798764,9.827162559147917e-05,292.8035316821414,7020.669243154336,120.91583555480368,7208.675165375206,1.2032247570317958,116.40484355889313,0.06839495958630824,0.0
8,1273.3333679880343,0.23266541712517885,9.628710492791317e-05,295.9298153624042,7317.2641545800325,120.91562076939577,7217.2407843709025,1.2046305539887354,112.88896166010167,0.08273766161360012,0.0
9,1342.6989118565502,0.1828410573256971,9.472241293716401e-05,287.3320567313075,7605.279642206965,120.91336784981762,7218.184231205586,1.206407115938196,109.6432835529202,0.08274969370587937,0.0
10,1361.7971884148828,0.16335175099403088,9.374299119145838e-05,277.7170459854886,7883.698275040684,120.91477729705217,7218.76455008982,1.2059848425324797,106.65232980326087,0.08274884474438478,0.0
11,1377.1753576856865,0.15001813979503542,9.297717079525621e-05,171.38202781172674,8055.7990051485385,120.53166005491109,7219.21087394629,1.2059018874433511,100.22914600885808,0.08274932623876141,5.27582043825393
12,1406.862664776714,0.12570462388629644,9.235783552395908e-05,332.18185188444033,8388.71604542325,120.67687836566598,7219.565450042104,1.2072805367635082,9.725695367489863,0.0827612701315282,130.5034220970859
13,1432.6856341940431,0.10476397848281183,9.204226548893487e-05,127.73550384936357,8517.203030215589,120.29144514894811,7219.733449832119,1.2087362610481276,8.967412795531711,0.08276864375438131,132.61680583732925
14,1455.963181212544,0.0843392780782618,9.195062681158057e-05,154.85414276258575,8672.823577684523,119.8899581271913,7219.76426104864,1.206662577585992,10.484555250710107,0.08277341486353448,134.4808376896508
15,1469.2084778022886,0.07231514205182821,9.211294775383462e-05,219.46694718851896,8893.071775206881,119.89513144275931,7219.76426104864,1.208175355623491,8.90978669030614,0.08277623338785631,136.4660604897661
16,1486.7903279898176,0.0593371490014194,9.240123891174614e-05,113.98159738484702,9007.849506681127,119.88399017793219,7219.76426104864,1.2131044364234416,9.318621879937364,0.08278069866879328,138.5146455046651
17,1504.0146314686122,0.04732482431323304,9.287291507910323e-05,93.18146416654554,9101.841352496998,119.79129695258412,7219.76426104864,1.212499718118281,8.735801378022899,0.08278550579804907,140.30894510738358
18,1506.8552977632735,0.04442979819621695,9.346739285109865e-05,77.38462631677442,9180.049593408548,119.80065480684905,7227.6252560139665,1.2142810059958697,9.669442393686548,0.0827824959489742,142.14645594290204
19,1511.9834438541204,0.038439657484050316,9.412200448392155e-05,66.62040322303253,9247.50773787998,119.81356272821264,7232.956604491867,1.2171741932706597,10.428557415921087,0.0827887975551464,143.91126694679465
20,1516.6511429516195,0.03482890295384078,9.483389458945699e-05,60.79685634246914,9309.15449488043,119.82074386188539,7243.026758647394,1.215438428755599,10.127099816802227,0.09192875901966385,144.23279023412178
21,1518.000841765091,0.03358657277319599,9.55779638166954e-05,56.14094873798726,9366.157073286171,119.83012549528156,7252.021753916146,1.215852583390124,10.186351778448403,0.09192813657637129,146.02747498779758
22,1527.620707568626,0.028931686297331227,9.632816613734726e-05,48.961126176193744,9415.992729299976,119.83790473753984,7274.510971992127,1.2169988025797305,9.85543696904352,0.09192739704873983,147.8167388079204
23,1531.0793316417721,0.028170312524349317,9.712072044410345e-05,47.367191105719115,9464.245662199222,119.83550817957594,7321.401774311617,1.2145989586571106,10.695782778848468,0.0919265267207005,149.6804300837348
24,1537.0832377298593,0.024287387787426562,9.791397992459861e-05,43.39241315538732,9518.460281876145,119.87243043370341,7374.768465456122,1.2175523084468742,10.714238418624607,0.09192553344624495,151.491928224525
