t,real_gdp,unemployment_rate,policy_rate,gov_deficit,gov_debt,benefit_paid,total_credit,price_index,energy_bought,e_capacity_utilization,energy_unfilled
0,429.8084155117386,0.8541113615128912,0.000134,281.1894036695669,5058.68940366943,120.40000000000042,12675.329037756868,1.2,246.68182462499993,0.03413386372111566,0.0
1,775.1753819955372,0.7273648728388231,0.0001254433194015028,618.2449167029883,5677.426189465692,129.72851536542606,14218.57076892793,1.2006312732811695,235.32416809094295,0.03414292464992011,0.0
2,1047.979216869324,0.6216644672388796,0.00011833004224285029,532.600735374421,6210.579029613049,126.82005816031372,15058.391003959197,1.2032170233943502,224.73133562560167,0.04130887870411858,0.0
3,1270.1229336084173,0.5263567828632645,0.00011242805494515195,509.31258354295574,6720.495527445513,124.2825659720426,15534.307269910512,1.2084969728590498,214.77547904399978,0.041317926210837144,0.0
4,1438.3867756859772,0.45101861788771014,0.0001075839263066043,500.1044805868164,7221.253497166936,123.37119198807765,15940.068880875022,1.2025975570211032,205.5837297866864,0.04132853059328882,0.0
5,1588.44748196663,0.38326840760605696,0.00010357718753607802,477.97836690901397,7699.935125262709,122.64881343219568,16166.867198916534,1.204251281771081,197.02784861869407,0.05208632505693365,0.0
6,1724.954433618922,0.32289752941240957,0.00010033411642381788,461.1989091168308,8161.884459549718,121.95501153214524,16345.507187764033,1.203224346593402,189.0769718172444,0.05209014696975109,0.0
7,1821.1937109598414,0.27653831115699545,9.775703575165021e-05,447.02329892303356,8609.70345219993,121.47880186011801,16465.914242023977,1.2024804302719685,181.69356537190467,0.052104686338223266,0.0
8,1904.7823616382655,0.23491174949155258,9.569176779581509e-05,435.3649071189793,9045.908285534642,121.34724934431041,16544.009125052795,1.2035645909998733,174.81368882700394,0.05211655498126938,0.0
9,1971.1407826665995,0.20356792540221336,9.410141652743746e-05,426.7150121328676,9473.505911989192,121.26339312571578,16598.35935605944,1.2048272081252802,168.40984115566891,0.052123142334659846,0.0
10,2019.2963618210972,0.18001812861237265,9.285535611308133e-05,419.7518906286798,9894.18268077281,121.12384609276647,16632.018089347323,1.2051058425221435,162.43061280536222,0.052127696131736706,0.0
11,2075.9824210286156,0.15327148237287647,9.189007620194774e-05,389.1693756742658,10284.318111404436,121.14213135560392,16659.59372695264,1.204905208288595,154.28641253930664,0.052131270483152005,4.0944573662293635
12,2122.5923746596163,0.1298682681540867,9.121556521973319e-05,394.28820627595326,10679.61098684608,123.00769202797083,16680.33932110808,1.2061955677325302,8.688879510596099,0.0521383554761215,205.55268363021023
13,2155.714923468866,0.1127207643102558,9.07940430430521e-05,285.14756302319256,10965.802508832989,122.79906946775448,16701.94464171521,1.204969701914198,10.224240448556937,0.05214877485093733,207.65116759951388
14,2186.7793006211073,0.09925976831252137,9.055703012058499e-05,245.93557344255663,11212.810814678518,122.73353981098995,16717.970933232613,1.2052045823564912,10.342475389712046,0.05216350523506281,209.50424609572937
15,2219.458930340682,0.08264979879485668,9.046390312559731e-05,215.5122171864718,11429.420402139594,122.47795340814571,16733.152768779197,1.2060617827635902,9.117883861888949,0.052173760519211826,211.37447400725162
16,2246.6793767081904,0.06883782999504506,9.054707693041798e-05,180.92223554059166,11611.461645370931,122.34141478740887,16746.35763689052,1.2095579776451235,9.325430562793866,0.052179726173878796,213.33481515176805
17,2270.7667090902905,0.05617207825790116,9.080147135607922e-05,151.11978874825155,11763.718592001773,122.19277042374867,16757.345839302805,1.2099445883969606,8.827895875444025,0.05219275034616337,215.28621112126874
18,2278.549498416254,0.053868678246676405,9.123553602268195e-05,127.85843015453861,11892.729679782282,122.16742224249516,16767.419079693995,1.2122040217519545,8.420348668302946,0.05220374618492056,217.2717822894322
19,2289.1518850337707,0.048802371175784454,9.168954248395803e-05,118.62532729346594,12012.52068938203,122.47187441805679,16773.249562804525,1.2117028025276653,9.00447570069382,0.05221380302163835,219.3074363856611
20,2309.784232101898,0.03897291056190466,9.219337360895483e-05,104.78881705428273,12118.487394868755,122.4301738225998,16776.525536768077,1.2146084917350881,9.530868215636872,0.052220098742270224,221.38075860829832
21,2313.3638735688473,0.03796933762227017,9.281372052709844e-05,89.56497941561764,12209.241074998074,122.46005983497108,16778.840904670335,1.2124251583922672,10.407291611882659,0.05222752333603911,223.48780201541712
22,2323.858147115766,0.03358636275055071,9.343878866280154e-05,80.8309548837318,12291.2705918683,122.34485465761375,16786.29102407068,1.2154627017412307,9.642211349335682,0.058434393169170464,223.99645587582404
23,2329.508959714045,0.032181620380896114,9.410445573359677e-05,76.60972629297339,12369.086932466358,122.32086334189725,16800.586369290973,1.2117272186884116,11.334725091674848,0.05843323944586243,226.1815056477034
24,2327.651640314726,0.03367818094548214,9.479148998452781e-05,73.63473412737181,12443.937116266003,122.66944148323705,16821.956468894095,1.2151896430963618,11.161946531292362,0.05844200262269362,228.31209344883118
25,2338.123899522205,0.03066891162936758,9.550578067473581e-05,71.62527289506227,12516.786254571936,122.66696431399167,16846.14446511012,1.2137525834223002,10.80348592124188,0.0584507851695938,230.4986862282921
26,2325.6592725692785,0.037846600006570474,9.624533003658863e-05,76.63678163695408,12594.65532129585,122.58231797294115,16888.884543791653,1.217335800329501,9.46654132407004,0.05846184557575347,232.78043111073444
27,2325.4708806441317,0.03895133529530803,9.692325159352628e-05,-170.05782225782315,12425.83790462995,122.20392442181769,16926.692569415136,1.215937244189279,11.108673695579068,0.05846284729053124,235.10575898575425
28,2345.0778093495014,0.032651856748766805,9.758293928394252e-05,280.2680004435807,12707.344868084207,122.09046440100767,17019.988119501893,1.2128739112447555,13.91440082726923,0.07391898173956679,233.57350117403104
29,2345.1508064269415,0.032819054515840995,9.832045406204691e-05,120.04402853501716,12828.639751928364,121.92626932334579,16682.557016695395,1.2174835885447597,15.07619702256924,0.07392253154884251,236.3788375168709
30,2334.18417058994,0.0390333513842418,9.907000916668375e-05,91.18315639202126,12921.084758322091,122.06996167381143,16788.620914170042,1.2206832751578751,13.445258552959908,0.07393441153383612,238.89877502406375
31,2337.716465818368,0.036719945445177204,9.98097417034386e-05,92.96753571256033,13015.323944012349,122.40269171942643,16912.618249404808,1.2227128392183995,13.739364615889322,0.07393528772682642,241.36918932866243
32,2340.901338491653,0.03612938139032407,0.00010056685179912197,84.44414369829462,13101.049213957287,122.38392545000849,17028.426625002496,1.219786334684737,14.967473755021114,0.0739452505120142,243.8654194347409
33,2351.2046415924297,0.0315586388242135,0.00010132287941535268,83.68520907898505,13186.024373153523,122.55495157602675,17165.411810571386,1.2199075297359459,14.911670139718378,0.07394597714443774,246.34287878992632
34,2312.389416025787,0.044117595129752885,0.00010212018494121845,90.58429311121921,13277.907158510538,122.75669847423892,17264.617533516783,1.2198626860733017,13.748185892776512,0.07395324370662146,246.47323714008297
35,2266.3302744086172,0.06138033201209947,0.00010277402889809772,112.22034535794859,13391.434822458665,122.81177147622809,17376.695328965896,1.2204116717106344,14.159749035683369,0.07396466369320988,247.77211725587384
36,2256.1538606438044,0.06541657543015911,0.00010323762936818477,143.0813011476405,13535.833677371422,122.72073574967112,17491.109032534307,1.222400022348319,14.216051709564665,0.07397110095271146,250.18273251271034
37,2270.0706607075863,0.05848523095740332,0.00010365316513006859,147.3089513557307,13684.4728375228,122.52036307714404,17628.009859772053,1.2201225424767752,14.176914643876021,0.07397323253731486,253.1959900961282
38,2279.2125040683563,0.05251122185915258,0.00010413769964254767,137.05796949331932,13822.874822340616,122.60407096852322,17759.89020532475,1.2206146733614693,14.577684861421844,0.0739759439429018,255.88893601778494
39,2289.3037346378887,0.048877818453935795,0.00010469946927555434,126.66785877693377,13950.901783741989,122.14648113979196,17912.09440462929,1.2222235803358896,13.472746176383476,0.07399491591102472,259.08399145298193
40,2299.0427123220456,0.042637744108468656,0.00010531563226207241,115.54186380266356,14067.816688821027,122.02913149471065,18041.351077458472,1.2212614449173047,13.940796542835855,0.073989067614251,261.2970535164901
41,2275.6641077213612,0.040665418793654706,0.00010599184177928669,105.24181548663472,14174.444761231372,122.0859366827881,18169.218452738172,1.220501744363808,13.944295623404452,0.07399130583873392,263.997349620789
