t,real_gdp,unemployment_rate,policy_rate,gov_deficit,gov_debt,benefit_paid,total_credit,price_index,energy_bought,e_capacity_utilization,energy_unfilled
0,140.68057391275835,0.8838296450684742,0.000134,148.9304844822618,4926.4304844824055,78.80000000000003,2137.4850310704032,1.2,114.20149649999998,0.021448377958225726,0.0
1,258.94712225875963,0.75834708296657,0.00012512711686447138,80.22997656127626,5006.915575255216,78.60029350504067,2528.6058666334593,1.1999999999999997,109.81050961796224,0.07998102762435312,0.0
2,353.9689431286751,0.6632463197542002,0.00011765586548615166,165.94456700839268,5173.158773825462,78.61723636041759,2643.764235161782,1.2015076357268921,105.18689830189707,0.13821187115620123,0.0
3,419.5546191540818,0.5962559656031396,0.00011125233558430882,159.39760173095917,5332.867200199251,78.60494776198777,2659.0467863897893,1.200965093335303,100.94478733328029,0.1505125631807757,0.0
4,507.2815766047728,0.5073387811961503,0.00010560932388032806,129.70261387527006,5462.894751977781,78.84951484087753,2660.2277633868084,1.2011358540677226,96.90800137723738,0.19612635887488977,0.0
5,577.4982780819804,0.43398020281204774,0.00010095434928329903,120.77557664626741,5584.006829162434,78.85387221058566,2661.6319231609996,1.1999999999999997,93.31268636733428,0.21280859938697674,0.0
6,649.4611404375934,0.3437760030068556,9.71143274921736e-05,77.5066505927521,5661.865228810818,78.83628947368445,2662.7444390190312,1.201465514626409,90.24127548329025,0.2241039374504513,0.0
7,695.890763051401,0.27605121787086884,9.426245374414806e-05,81.09850058342568,5743.321182656568,78.8414736842104,2663.5669176301817,1.1999999999999997,86.99998899982329,0.23069352407010033,0.0
8,744.6140322400109,0.20772235768008984,9.21519224520099e-05,54.46037250302558,5798.149461196405,78.8518421052632,2664.171081123107,1.209292330575299,84.43962583230565,0.2479774819264232,0.0
9,777.9554068851618,0.17268419198054774,9.078362577241094e-05,50.632484391845566,5849.160145137997,78.8622494078945,2664.5573681886485,1.2000000000000002,81.56310820547024,0.24797358700441807,0.0
10,799.4911150761602,0.14870492794803913,8.979769849340112e-05,40.61676913067956,5890.164661787125,78.88817046052657,2664.8307415586337,1.2038324708029158,79.67422682493319,0.24800735907823784,0.0
11,817.3439427937333,0.11670459111737852,8.907351591105742e-05,36.718806245652075,5927.281269765827,78.8933546710525,2664.995958378801,1.2000000000000002,76.73449721812739,0.25519986029822905,0.0
12,834.7099605169896,0.09632607375438684,8.869443108588872e-05,28.871455787497894,5956.559612713675,78.8933546710525,2665.0917762963854,1.2028973055692365,75.64008979663896,0.2551926720330129,0.0
13,849.5456477758631,0.07902785246267996,8.853417415996499e-05,20.922656552990276,5977.898228472127,78.91409151315791,2665.120259753674,1.1999999999999997,72.47426991301005,0.25519140998378487,0.0
14,861.1847001593073,0.06518413917372357,8.85582747218894e-05,38.4510257835646,6025.468952535406,78.94944483526396,2665.120259753674,1.2,23.71330524752592,0.25519000341337,66.54569542362798
15,868.2452889011998,0.052448209523413225,8.872808366759711e-05,34.38091822560952,6072.968117705181,78.95523735846042,2665.120259753674,1.2001353084232886,20.746367826942798,0.2551888909742122,69.75423633153214
16,876.072466266014,0.04323130861600122,8.903184780606526e-05,27.718280217658673,6123.273134794761,78.95115029869108,2665.120259753674,1.2000089961676996,21.211016600475773,0.2551878589777417,70.94195914336525
17,884.1971084804848,0.026806096876691332,8.942974044315604e-05,13.12441892683293,6162.664856912967,78.94970610801285,2665.120259753674,1.1999999999999997,22.5585646610657,0.2551871679363284,71.56913570346711
18,892.0148022978556,0.017821984151045855,8.999922581217175e-05,9.749197333452543,6198.931549146312,78.96191330518327,2665.120259753674,1.2000352462195656,21.451426657948574,0.25518655770478843,72.69578991202577
19,895.3540363622166,0.012564923760241209,9.065906180619697e-05,8.019031863920873,6233.708782072235,78.96345217474018,2665.120259753674,1.2000015066991658,21.9900197790525,0.25518593976423365,73.61776259325026
20,895.4085422794241,0.012562630132009311,9.136888901062118e-05,7.185141636493739,6267.763851517603,78.97533398323277,2665.120259753674,1.2002018558407304,19.87881014768213,0.2551853015235748,74.59247246820459
21,896.4781323093883,0.010711221692467077,9.207239482023393e-05,6.459200407532052,6301.101415102104,78.97874205926287,2665.120259753674,1.2002821256014582,22.687259995653278,0.2551846716752489,75.71075942615386
22,901.7385207219661,0.00504431949966011,9.278927971139369e-05,5.189635305033903,6333.208077032097,78.98853207579359,2665.120259753674,1.2005192401643874,23.438772118434798,0.2720202741436614,74.81729655659609
23,906.2581784739698,0.0,9.356001944164001e-05,-0.8526329878939691,6359.4367166671545,78.99353733581654,2667.584779289228,1.2012035798832505,25.02200506642548,0.28366143147170403,74.5041824390073
24,910.0315828841908,0.0,9.44182743986306e-05,-1.5934614628846475,6385.079326352587,78.99864663479556,2674.467429629029,1.2013660498447498,23.668812442074305,0.2836597189425422,75.4774793856073
25,916.0874685265646,0.0,9.526861797918028e-05,18.041222457240565,6430.519420036092,79.00636404260135,2684.6670344335585,1.201985605355759,24.101259861114826,0.29532589736034626,73.72575442387148
26,914.3171416148374,0.0,9.61115982413127e-05,7.047443791302129,6465.198523944797,79.08367156392188,2695.0082272848963,1.2012911544165157,25.677638446880337,0.29532410079671034,74.58548104757313
27,919.4385989670553,0.0,9.694708279469579e-05,3.435013736126166,6496.2176857659715,78.69897234846842,2711.755614428012,1.2017899189679608,27.375969163448417,0.30589433766404284,74.0577012131315
28,917.0232641167532,0.0,9.777519448705263e-05,-25.970333757647495,6497.9907264301355,78.70920171169548,2725.9513491355588,1.2062611193311188,26.79407659849927,0.30589237676760905,75.08626518839782
29,915.7148262951123,0.0,9.866819297522836e-05,34.08306611616143,6559.722067132757,78.72073918807297,2744.1442997903964,1.2085950656617925,26.037201727693486,0.3058891016434244,75.43378631947459
