t,real_gdp,unemployment_rate,policy_rate,gov_deficit,gov_debt,benefit_paid,total_credit,price_index,energy_bought,e_capacity_utilization,energy_unfilled
0,390.6777155333652,0.8678548103664455,0.000134,277.2201140695398,5054.720114069256,126.80000000000052,11214.938506287153,1.2,246.69239242499995,0.02122577714529174,0.0
1,731.7206936223791,0.7422611582511103,0.00012529708910570097,615.5475419923941,5670.759298749946,135.4782764519168,13427.79521301081,1.2000000000000002,235.31927483956588,0.03945452094988752,0.0
2,1061.1140445308413,0.6086919001128777,0.00011799570063640306,496.63552630479984,6167.946905593957,131.3532848486845,14641.331357202336,1.1999999999999997,224.7361705531315,0.07818339259138299,0.0
3,1273.1191203075437,0.5168668130051861,0.0001121700474706124,507.5525473210903,6676.099816470324,129.79367488877668,15539.404773316859,1.2,215.15744630113525,0.07819767380202657,0.0
4,1454.4210722217779,0.43680649759696843,0.00010736475895862385,479.24560246596207,7155.9972529812185,128.89208508365502,16040.65112435647,1.1999999999999995,205.63816024243715,0.09379965007350964,0.0
5,1631.5978590515867,0.3556890040364621,0.00010348754674137919,457.0274375790246,7613.72443970699,128.2248610173907,16292.853910223836,1.2012075979464165,197.1531504461182,0.09382274527607833,0.0
6,1754.9359654761192,0.29781397767787954,0.00010050118324565408,366.42345291292645,7980.891444277529,127.49190836058456,16541.15189054541,1.2020643211738438,189.27222763411694,0.09384359595127577,0.0
7,1856.3084623650261,0.2486005883722,9.818895144528194e-05,508.8630848593359,8490.534234980256,127.23729589278433,16721.883638862426,1.2024661665344565,181.94279667311753,0.11149022321044064,0.0
8,1940.4509096965585,0.2058555860433079,9.641691041191428e-05,353.5197137719556,8844.883616932177,126.76106681033332,16885.315118408173,1.2013362870684337,175.325393883032,0.11950142633060337,0.0
9,2006.9400935637198,0.17252747727178064,9.515027804534948e-05,491.744768616615,9337.492815817428,126.60631560119748,17039.069076065123,1.201804872871988,169.3235792372494,0.11951675113052239,0.0
10,2047.234267068174,0.1503596558363114,9.420865953954058e-05,390.0196779602977,9728.424537532292,126.71589365547216,17143.530250306365,1.2017622944008832,163.26917303092435,0.1195394345079072,0.0
11,2106.3302991684777,0.12041564335294752,9.354711389596805e-05,321.5664091315582,10050.940964173233,126.65315140743738,17239.143633689313,1.2018853102939566,157.6349894531525,0.11955844194381425,0.0
12,2144.83869184271,0.10053890769329377,9.317001048017793e-05,279.26153617085265,10331.184313545938,126.99385305871046,17315.9222864518,1.2023265870849185,110.88939912403406,0.11957122308059336,61.471379467414465
13,2184.124920097027,0.08106023614024616,9.300603284020092e-05,254.73493887840297,10586.928829790791,127.93163036042418,17384.604760019134,1.2027823361053278,20.679036897928494,0.11957737991247662,186.478762077667
14,2196.6120289325995,0.07440509734580047,9.306719264503813e-05,185.4583780758157,10773.421124266853,128.4801865991067,17442.435073150325,1.2026652284934294,22.780271058743534,0.1196179872700653,187.99007138155375
15,2218.3870836460146,0.0644379399082029,9.317994514788042e-05,180.10989051412446,10954.582367915817,128.10812260964886,17486.3931603112,1.2026774675133547,20.5666776546662,0.11961670637192015,188.9699074190815
16,2233.087525264134,0.057585285863382185,9.339685791572697e-05,162.40662970736201,11118.058155412396,127.98101374673264,17522.273082123673,1.2025112248456318,22.845054604117998,0.1196331163573517,190.4516509971279
17,2258.207331838868,0.04576301356318657,9.368400879029463e-05,139.19894347639416,11258.342771615624,127.91952404507984,17551.270710944664,1.2045040985170132,19.81451387402757,0.11965489512095769,191.58123395666954
18,2266.347272678589,0.04251438719666223,9.411330445512689e-05,119.29119057325426,11378.733309387208,127.90561686130613,17572.547820500193,1.2058474956636773,21.39007820062404,0.12264768024284717,192.29937823919116
19,2275.190972284604,0.039173635823306796,9.457285916576916e-05,110.81396114786571,11490.659492499399,128.0155191254495,17589.716474828274,1.2041858307734028,26.772317599633954,0.13650126678078964,190.1713361689541
20,2286.846416466593,0.0350758255730369,9.506343465924827e-05,102.54974696476779,11594.333352586096,128.00168606413038,17605.546448914694,1.2055554301157807,24.162947203553585,0.13565704056651054,191.55343492674388
21,2291.878007583439,0.03348037129079129,9.561372071376317e-05,90.26240623628428,11685.731519135454,128.168882777752,17624.114939022787,1.2052704110398864,23.536191285671396,0.13250502370318823,193.6774662650487
22,2310.098912661611,0.02535337848671304,9.617575937304801e-05,81.04154172286309,11767.918435449172,128.13712209274655,17644.089885045913,1.2067437773282248,25.26409753193606,0.1293949381973607,195.88943391999433
23,2300.660086791551,0.030888063838060975,9.681897166468738e-05,74.13892688725554,11843.211676131097,128.09079553268862,17671.542224790064,1.2069982996608268,23.627198446220593,0.12941977735416552,197.0090730162375
24,2292.422150322351,0.035808398717201095,9.73973970179045e-05,81.3777777778443,11925.751977894126,128.11826966803434,17720.24784239128,1.2056718495514553,23.454249534494664,0.12942227240511278,198.23958588637186
25,2308.03687114738,0.028462841790331872,9.791808402411258e-05,82.34697698378739,12009.270733787664,128.00228588762167,17770.888284336324,1.2078103055417388,23.166259354868217,0.12946627712320055,199.90598430731856
26,2292.3248131518308,0.036487127119054885,9.855098787037605e-05,81.00688385076063,12091.456765777926,127.98402045348921,17825.85708294039,1.2090486796278619,22.058866725121728,0.12946405334942718,200.4553168011288
27,2296.2506441805676,0.03701416716249195,9.914140425782819e-05,90.39222186162465,12183.036178566337,127.75847223903024,17873.492376427435,1.2094248616685228,23.754241998672725,0.12948261025235777,201.47582217372977
28,2282.7591028512693,0.04363741546948541,9.974027149322266e-05,93.29088079486081,12277.523942880021,127.75173628644049,17934.141181533534,1.2085173428965363,22.096237208142846,0.12950347129288414,202.8508283969775
29,2289.1043797632533,0.0409385087413372,0.00010026314412180608,101.88008056252653,12380.609139561719,127.72397814812436,17995.154073097074,1.2103625480458993,23.234703334295794,0.129507735484809,205.83890286797262
30,2297.375221117319,0.037787353518433986,0.00010082564142934375,99.59334182652083,12481.414790904646,127.70746562560552,18061.38429324288,1.2110497077820759,23.498177289730837,0.1295159408083468,207.6397110224732
31,2317.030999764612,0.02954593030327024,0.00010146573419428255,101.29894814888098,12583.933199356798,127.69285292625074,18144.513576268746,1.2110354511058936,24.40892588889829,0.1295331094945196,208.59142625008172
32,2316.4344648187744,0.029441595688237454,0.00010218759839449364,61.90109607874081,12647.063292818775,127.88770529077046,18252.08708324758,1.2117311273205928,24.168110972146025,0.12954870477846372,211.25417525965992
33,2319.9658049668624,0.031408374212939405,0.00010292398530708803,68.15111827847039,12716.440425412964,127.88678533916672,18374.36286372927,1.2109167519367698,25.814718729354215,0.12956306402127787,213.41279305323445
34,2307.213274427541,0.027230467281154636,0.00010363238403654704,84.75468766424717,12802.427589653851,127.93364594413625,18488.838722060857,1.21135171014072,25.759151203317213,0.12957374556298262,215.58927732165998
35,2313.9506061260286,0.025130652833045164,0.00010437838380128118,67.4012813909855,12871.0689302523,128.39808684248325,18609.93822625782,1.2110850874224466,23.860576024754515,0.12957977662477013,218.72769221511965
36,2320.3589013495966,0.024349788706745756,0.00010513958762358828,69.78171652649627,12942.097708956604,128.31453223251688,18750.235136176834,1.2105727318317603,23.258179938202524,0.12960794779655216,221.08670848495865
37,2310.6175956403317,0.027811724342752475,0.00010590184401745532,67.83005415959599,13011.181764886878,128.24180704409574,18892.563921211957,1.2117437621377223,25.59667208365293,0.1296172802581769,224.2686259225108
38,2312.4247780948936,0.028171889095240155,0.00010661999977087555,72.47613895816875,13084.918701890538,128.21678881945263,19042.049710679697,1.2111712668966457,27.901781470911722,0.13848658523023358,223.78465299802207
39,2330.175148999078,0.029627030093332563,0.00010734636925949371,66.7358703020484,13152.92240232685,128.13091326523028,19186.643388047814,1.2110464305069737,23.938569967727098,0.13849111345672732,226.0997546071738
40,2312.87939897499,0.031489017652145734,0.00010805077250052339,78.24083769122626,13232.437833298985,128.17405799674196,19324.313513319084,1.2124696466536335,24.64273201560889,0.1384983017223825,228.57938150900947
41,2334.7766561351136,0.0268665104494471,0.00010874500066731556,81.27391723578779,13314.993720829225,128.11466589484897,19466.13609993202,1.212841337516603,24.23857274162463,0.13850530000333167,231.3223985668633
42,2329.906228087139,0.02279627396185313,0.00010949644963218235,68.86138915546525,13385.144868949725,128.2332203117073,19602.147905672282,1.2113042133109315,26.342760959047826,0.13851212041976615,233.7521163477656
43,2305.73081797108,0.021661293740043774,0.00011028384128485698,69.51933386978038,13455.961133260522,128.21873329342483,19735.66743611015,1.2132155054856697,25.355298410373074,0.13852675205560597,236.40875252412928
44,2289.6034201419902,0.020270614301014844,0.00011107567112316101,74.54443258953029,13531.809483935205,128.25356261415521,19866.033593784476,1.214705482340893,25.764029070621525,0.13854204826160216,238.757893335444
45,2282.1927722787154,0.022056061412338956,0.00011187462573705284,57.648971652476746,13590.769606070957,128.21250697732873,19999.129595840404,1.21508567437425,28.044514715459375,0.13855534506234993,240.88488829852196
46,2277.6533437464323,0.019176317515722463,0.00011264686575344016,51.182195689934304,13643.269229862119,128.0687636175492,20127.776632379395,1.2154658830373342,27.35886795983753,0.13856688145831203,243.59153030769653
47,2277.420214125608,0.019674061386347974,0.00011344224045165724,50.29055366364901,13694.882742147098,128.08295266619558,20248.000499113747,1.214971717661658,27.52652270005882,0.13857110537945969,245.29336472000585
48,2270.8461269548015,0.022458752470168708,0.00011422464457269086,-11.062426038898366,13685.148478477207,127.71138045633792,20376.707912800648,1.2170943807226517,26.832298928651156,0.13857725491851766,247.863500884421
49,2269.9006085367637,0.022825625249099923,0.00011500025038339718,113.45441412135261,13799.932348253065,127.76465495133688,20493.870140381954,1.213880499934468,28.411593792388125,0.13858308411214462,249.75244980594005
50,2263.761860122394,0.021927122162274215,0.00011576438383073416,71.60045154477359,13872.869820300402,127.76572370929675,20593.313904247745,1.218197033098472,26.374257251018143,0.1385888566878897,252.16895965154788
51,2240.029067870293,0.022009256439361247,0.00011657430434865976,63.00781530642638,13937.221917959752,127.96908267294593,20703.428192828804,1.2185279431064944,26.028603498940694,0.1385941955393099,254.47648345534387
52,2218.8624166375484,0.01980671786777044,0.00011737545123169832,58.889791649464996,13997.46261415672,128.03643163061014,20803.867562929117,1.2186839034708354,27.14132452703189,0.13859949016080528,256.7453605663067
53,2214.891637895623,0.028286139250912723,0.00011819220871170633,58.41468793283872,14057.234341145448,128.06106025427562,20899.811133802785,1.2182246559113976,29.059501696405725,0.1491276837901899,254.25465488690355
54,2215.4231703663518,0.026698522403042158,0.00011891081061905948,71.62683357340546,14130.224141664405,128.3067839744872,20994.19977497546,1.2187946753189975,29.897140377116237,0.155628554056785,255.01295289204435
55,2207.7263909228004,0.02547834148885042,0.00011963912399800526,65.96089126219965,14197.554669218734,128.22542169360133,21087.922252825327,1.22244076002985,31.418784568186712,0.1556338988243693,256.9255181745379
56,2254.447098275722,0.021761280195722654,0.00012045317967301391,63.28134126458997,14313.610519085965,128.0649628605822,21183.49942595686,1.2231970553597802,32.02620758116463,0.15563829410131735,258.88147193470843
57,2249.41791987924,0.025879526315182866,0.00012129041791972934,61.80420998437404,14436.505471129552,128.0795821113723,21273.28287914241,1.2235460604061232,30.97455213369146,0.15660996549080158,259.210384860755
58,2211.2445925124694,0.02760752526591359,0.00012208447044325256,68.40016185115911,14537.248394348762,128.2594186298147,21358.482267809777,1.2224708922535308,31.85795097911528,0.15661465115741224,261.0589597195011
59,2215.457127865356,0.022977428914660813,0.00012284473841029048,70.87151247306048,14660.225414490074,128.2822432807858,21446.474553581793,1.2224860313667671,29.236996122616212,0.15774257363687516,262.3031742492927
60,2249.4142229868753,0.029962301163538596,0.00012364761550311606,67.25679355214658,14794.14874282633,128.34595254311748,21529.124304128814,1.2245540586420678,35.00595313321253,0.16668721300567169,260.9485078226063
61,2239.0797265390784,0.026490751793388223,0.00012437430173214126,71.8254379333793,14933.584718156613,128.32450874858222,21593.914352763655,1.225867148015,31.904008148073427,0.16754689352731975,262.71015456113867
62,2204.4878247406464,0.022548238381001284,0.00012516797214267815,68.99591759626549,15070.071315221228,128.26506157923546,21668.441991966112,1.2255082998158526,32.036243325421026,0.16827780510833185,264.68949592448945
63,2193.5911631426247,0.01765938571633041,0.00012599566434795819,58.79415689820377,15195.478697486311,128.35067046886653,21739.395208213093,1.2267004680740052,34.039563855684186,0.16902557572228327,265.36016826219964
64,2178.3695452089432,0.015438874509696054,0.00012686719496037813,44.76944157597114,15306.414870615266,128.34886105667798,21806.674814227496,1.2289771572905033,32.88075302113381,0.16330020086080516,268.6285674029855
65,2177.5677617738247,0.013880521665173395,0.0001278100299696192,44.75519130173831,15417.10777149104,128.33926055109166,21881.07094143785,1.2275813512434905,32.244800113546745,0.16330261757629225,270.4359826721789
66,2138.9084865837426,0.014519736694082463,0.00012876054935096482,37.25631196418067,15519.956637224303,128.23801878554247,21965.862212874392,1.228676171831232,32.13391569337604,0.16330495014285812,270.66068383722506
67,2097.4357217345637,0.011305190586940905,0.00012969400146001196,38.00788626987128,15601.960039760103,128.23215908431496,22036.29952574001,1.228629156042452,33.596915995996675,0.16330705131575277,273.4077834185529
68,2065.3827841023544,0.016894960950979754,0.00013065282492612945,41.23735253827448,15644.70883183434,128.50247673781158,22110.51557492721,1.2304577982842035,31.78090878712029,0.16330873771455948,273.3817797164954
69,2045.6352629526982,0.016677253185034657,0.00013159142746079272,50.57478270565741,15696.80091741947,128.59492446060307,22187.339782926058,1.2339717240887984,31.801256830961343,0.16330927310604768,274.7204875482811
70,1998.9022309324748,0.029715477963600412,0.00013252338428668345,51.67732637461188,15750.000901624639,129.19063146552847,22253.046898836703,1.2341751355680521,31.923732369363623,0.16330973207299895,272.7769953101719
71,1979.9793477353242,0.025023267944393135,0.00013332461192889795,68.76494424908276,15820.293741957048,129.2959383249637,22325.83353841152,1.233657193987655,31.545472696103854,0.1663852464158514,274.21220067203876
72,2001.529910701739,0.027279459016934737,0.00013416759913827028,60.488624092007,15882.762523013967,129.37768765336094,22385.647884527698,1.231844133616745,36.434910164396,0.17227967190599108,275.16782724706445
73,2004.8525758674343,0.027318430829839535,0.00013497810282630772,68.44607592339679,15968.313131900284,129.35819217561627,22451.095786304537,1.2346198777380535,32.59419688818616,0.17615608418298992,273.18996524864514
74,2028.7605582102835,0.02564811228843389,0.0001357799673082033,57.4743454686336,16086.43067610702,129.36688169465202,22502.00008405532,1.2364130444443497,33.97121260230659,0.16918184304466663,276.97050927862045
75,1983.3292550880506,0.0233256353518263,0.00013661664324263854,58.97332966408504,16206.706760839335,129.22931089656407,22564.65211356334,1.237743373562645,33.74051206481404,0.16918133670247112,277.9788589145808
76,1981.585426318308,0.020242492074322826,0.00013749428521326535,56.73765163474553,16323.686955409368,129.26561235086677,22612.79360959623,1.236430573407843,32.98861133743169,0.1691803140456463,277.7180594705514
77,1990.7372583338413,0.0231900663345187,0.00013839591876385154,51.88243773148514,16435.678177054848,129.1939145355685,22660.742883357583,1.23437413587447,37.03053171209634,0.17746569560545786,275.82407607816833
78,1974.267927955907,0.02387773505160784,0.00013925719970165582,54.71980635024801,16550.799234801947,129.24225484879682,22709.1378780377,1.2336618773418055,36.16228727721283,0.17746386652907556,274.88946808830883
79,2012.442682779535,0.022833888188064533,0.00014010248720540427,52.14968767737088,16662.840434220743,129.36315370833194,22753.65052407145,1.2345338989404058,37.30394468914369,0.18214535338327043,274.77560579773717
80,1980.1051914996697,0.03183963818065261,0.00014095227418854097,66.50200268409236,16790.175076621592,129.5253608438111,22795.145169612115,1.2378950965200086,35.910904345817094,0.18214275608466168,276.84501654572364
81,1896.0050738063617,0.0359081136129753,0.0001417302302239041,4.942683384479153,16854.785893998385,128.9286340129797,22835.836502595615,1.2362453427840991,33.70125243861527,0.1821395036427045,277.6023745581638
82,1861.7297962419352,0.033230933916579275,0.00014245528068014418,123.4386111545395,17035.6753033265,128.9991325406746,22868.93951754148,1.2341613489576402,34.68073757353575,0.18213606891043504,277.0623072133713
83,1859.7817521671789,0.03753871572607426,0.00014320113330278426,85.12315875206525,17177.409949569203,129.02272585952016,22907.759867468303,1.242403724122794,34.47375067573826,0.18213231474194358,278.2938717331058
84,1870.2801431910636,0.039571500554236416,0.00014396194783564432,94.37859496788207,17328.27380020641,129.45470107061143,22937.869569604358,1.2426662431905178,35.89072458394559,0.1821273988887691,278.88753445833623
85,1897.0535347301739,0.05116685636891993,0.0001447229237070374,107.92117303339268,17493.041237949215,130.18845033233345,22971.069514046478,1.2405538183139626,37.27951412844405,0.1935246843603434,270.070876555647
86,1852.8244451972032,0.05750906341035855,0.0001453523972650296,110.66293783814842,17661.44382728829,129.94840046824496,23005.830331465786,1.2438298434101769,37.72901617648821,0.19314137308209142,267.82222618461793
87,1820.6960875816949,0.06188125967176694,0.00014590726757753416,140.65821192894515,17858.597710265964,131.3581340592357,23030.337410290686,1.2404912294084662,38.82733968685842,0.1912872682062551,268.4747480667985
